farm_id,timestamp,region,generation_mw
WND-0000,2026-08-06 19:12:44.169646,Karachi,0.0
WND-0000,2026-08-03 08:12:44.169646,Karachi,7.25
WND-0000,2026-08-09 17:12:44.169646,Karachi,41.48
WND-0000,2026-08-10 10:12:44.169646,Karachi,63.86
WND-0000,2026-08-10 04:12:44.169646,Karachi,0.43
WND-0000,2026-08-05 16:12:44.169646,Karachi,0.0
WND-0000,2026-08-02 13:12:44.169646,Karachi,50.08
WND-0000,2026-08-04 09:12:44.169646,Karachi,0.0
WND-0000,2026-08-06 22:12:44.169646,Karachi,23.56
WND-0000,2026-08-03 14:12:44.169646,Karachi,0.0
WND-0000,2026-08-02 15:12:44.169646,Karachi,30.17
WND-0000,2026-08-05 23:12:44.169646,Karachi,12.59
WND-0000,2026-08-02 16:12:44.169646,Karachi,57.41
WND-0000,2026-08-07 09:12:44.169646,Karachi,0.0
WND-0000,2026-08-09 09:12:44.169646,Karachi,0.0
WND-0000,2026-08-02 05:12:44.169646,Karachi,34.24
WND-0000,2026-08-03 23:12:44.169646,Karachi,0.0
WND-0000,2026-08-02 06:12:44.169646,Karachi,11.74
WND-0000,2026-08-06 20:12:44.169646,Karachi,25.64
WND-0000,2026-08-02 17:12:44.169646,Karachi,0.0
WND-0001,2026-08-06 19:12:44.169646,Peshawar,0.0
WND-0001,2026-08-03 08:12:44.169646,Peshawar,0.0
WND-0001,2026-08-09 17:12:44.169646,Peshawar,5.85
WND-0001,2026-08-10 10:12:44.169646,Peshawar,0.0
WND-0001,2026-08-10 04:12:44.169646,Peshawar,8.27
WND-0001,2026-08-05 16:12:44.169646,Peshawar,16.78
WND-0001,2026-08-02 13:12:44.169646,Peshawar,3.86
WND-0001,2026-08-04 09:12:44.169646,Peshawar,13.11
WND-0001,2026-08-06 22:12:44.169646,Peshawar,5.1
WND-0001,2026-08-03 14:12:44.169646,Peshawar,0.0
WND-0001,2026-08-02 15:12:44.169646,Peshawar,7.8
WND-0001,2026-08-05 23:12:44.169646,Peshawar,29.17
WND-0001,2026-08-02 16:12:44.169646,Peshawar,3.27
WND-0001,2026-08-07 09:12:44.169646,Peshawar,24.8
WND-0001,2026-08-09 09:12:44.169646,Peshawar,0.0
WND-0001,2026-08-02 05:12:44.169646,Peshawar,2.31
WND-0001,2026-08-03 23:12:44.169646,Peshawar,0.0
WND-0001,2026-08-02 06:12:44.169646,Peshawar,0.0
WND-0001,2026-08-06 20:12:44.169646,Peshawar,0.0
WND-0001,2026-08-02 17:12:44.169646,Peshawar,0.0
WND-0002,2026-08-06 19:12:44.169646,Peshawar,0.0
WND-0002,2026-08-03 08:12:44.169646,Peshawar,0.0
WND-0002,2026-08-09 17:12:44.169646,Peshawar,7.84
WND-0002,2026-08-10 10:12:44.169646,Peshawar,0.0
WND-0002,2026-08-10 04:12:44.169646,Peshawar,10.93
WND-0002,2026-08-05 16:12:44.169646,Peshawar,22.39
WND-0002,2026-08-02 13:12:44.169646,Peshawar,4.81
WND-0002,2026-08-04 09:12:44.169646,Peshawar,19.4
WND-0002,2026-08-06 22:12:44.169646,Peshawar,5.77
WND-0002,2026-08-03 14:12:44.169646,Peshawar,0.0
WND-0002,2026-08-02 15:12:44.169646,Peshawar,8.81
WND-0002,2026-08-05 23:12:44.169646,Peshawar,38.86
WND-0002,2026-08-02 16:12:44.169646,Peshawar,4.06
WND-0002,2026-08-07 09:12:44.169646,Peshawar,31.74
WND-0002,2026-08-09 09:12:44.169646,Peshawar,0.0
WND-0002,2026-08-02 05:12:44.169646,Peshawar,3.18
WND-0002,2026-08-03 23:12:44.169646,Peshawar,0.0
WND-0002,2026-08-02 06:12:44.169646,Peshawar,0.0
